id,data_event,id_event,json_data,flood,latitude,longitude
10895,1995-06-27,987,NULL,0,33.6351,-79.4656
10896,1995-06-28,987,NULL,0,33.6351,-79.4656
10897,1995-06-29,987,NULL,0,33.6351,-79.4656
10898,1995-06-30,987,NULL,0,33.6351,-79.4656
10899,1995-07-01,987,NULL,0,33.6351,-79.4656
10900,1995-07-02,987,NULL,0,33.6351,-79.4656
10901,1995-07-03,987,NULL,0,33.6351,-79.4656
10902,1995-07-04,987,NULL,0,33.6351,-79.4656
10903,1995-07-05,987,NULL,0,33.6351,-79.4656
36759,1995-08-29,987,NULL,0,33.6351,-79.4656
10904,1995-07-06,987,NULL,0,33.6351,-79.4656
36760,1995-08-30,987,NULL,0,33.6351,-79.4656
10905,1995-07-07,987,NULL,0,33.6351,-79.4656
36761,1995-08-31,987,NULL,0,33.6351,-79.4656
10906,1995-07-08,987,NULL,0,33.6351,-79.4656
36762,1995-09-01,987,NULL,0,33.6351,-79.4656
10907,1995-07-09,987,NULL,0,33.6351,-79.4656
36763,1995-09-02,987,NULL,0,33.6351,-79.4656
10908,1995-07-10,987,NULL,0,33.6351,-79.4656
36764,1995-09-03,987,NULL,0,33.6351,-79.4656
10909,1995-07-11,987,NULL,0,33.6351,-79.4656
36765,1995-09-04,987,NULL,0,33.6351,-79.4656
10910,1995-07-12,987,NULL,0,33.6351,-79.4656
36766,1995-09-05,987,NULL,0,33.6351,-79.4656
10911,1995-07-13,987,NULL,0,33.6351,-79.4656
36767,1995-09-06,987,NULL,0,33.6351,-79.4656
10912,1995-07-14,987,NULL,0,33.6351,-79.4656
36768,1995-09-07,987,NULL,0,33.6351,-79.4656
10913,1995-07-15,987,NULL,0,33.6351,-79.4656
36769,1995-09-08,987,NULL,0,33.6351,-79.4656
10914,1995-07-16,987,NULL,0,33.6351,-79.4656
36770,1995-09-09,987,NULL,0,33.6351,-79.4656
10915,1995-07-17,987,NULL,0,33.6351,-79.4656
36771,1995-09-10,987,NULL,0,33.6351,-79.4656
10916,1995-07-18,987,NULL,0,33.6351,-79.4656
36772,1995-09-11,987,NULL,0,33.6351,-79.4656
10917,1995-07-19,987,NULL,0,33.6351,-79.4656
36773,1995-09-12,987,NULL,0,33.6351,-79.4656
10918,1995-07-20,987,NULL,0,33.6351,-79.4656
36774,1995-09-13,987,NULL,0,33.6351,-79.4656
10919,1995-07-21,987,NULL,0,33.6351,-79.4656
36775,1995-09-14,987,NULL,0,33.6351,-79.4656
10920,1995-07-22,987,NULL,0,33.6351,-79.4656
36776,1995-09-15,987,NULL,0,33.6351,-79.4656
10921,1995-07-23,987,NULL,0,33.6351,-79.4656
36777,1995-09-16,987,NULL,0,33.6351,-79.4656
10922,1995-07-24,987,NULL,0,33.6351,-79.4656
36778,1995-09-17,987,NULL,0,33.6351,-79.4656
10923,1995-07-25,987,NULL,0,33.6351,-79.4656
36779,1995-09-18,987,NULL,0,33.6351,-79.4656
10924,1995-07-26,987,NULL,0,33.6351,-79.4656
36780,1995-09-19,987,NULL,0,33.6351,-79.4656
10925,1995-07-27,987,NULL,0,33.6351,-79.4656
36781,1995-09-20,987,NULL,0,33.6351,-79.4656
10926,1995-07-28,987,NULL,0,33.6351,-79.4656
36782,1995-09-21,987,NULL,0,33.6351,-79.4656
10927,1995-07-29,987,NULL,0,33.6351,-79.4656
36783,1995-09-22,987,NULL,0,33.6351,-79.4656
10928,1995-07-30,987,NULL,0,33.6351,-79.4656
36784,1995-09-23,987,NULL,0,33.6351,-79.4656
10929,1995-07-31,987,NULL,0,33.6351,-79.4656
36785,1995-09-24,987,NULL,0,33.6351,-79.4656
10930,1995-08-01,987,NULL,0,33.6351,-79.4656
36786,1995-09-25,987,NULL,0,33.6351,-79.4656
10931,1995-08-02,987,NULL,0,33.6351,-79.4656
36787,1995-09-26,987,NULL,0,33.6351,-79.4656
10932,1995-08-03,987,NULL,0,33.6351,-79.4656
36788,1995-09-27,987,NULL,0,33.6351,-79.4656
10933,1995-08-04,987,NULL,0,33.6351,-79.4656
36789,1995-09-28,987,NULL,0,33.6351,-79.4656
10934,1995-08-05,987,NULL,0,33.6351,-79.4656
36790,1995-09-29,987,NULL,0,33.6351,-79.4656
10935,1995-08-06,987,NULL,0,33.6351,-79.4656
36791,1995-09-30,987,NULL,0,33.6351,-79.4656
10936,1995-08-07,987,NULL,0,33.6351,-79.4656
36792,1995-10-01,987,NULL,0,33.6351,-79.4656
10937,1995-08-08,987,NULL,0,33.6351,-79.4656
36793,1995-10-02,987,NULL,0,33.6351,-79.4656
10938,1995-08-09,987,NULL,0,33.6351,-79.4656
36794,1995-10-03,987,NULL,0,33.6351,-79.4656
10939,1995-08-10,987,NULL,0,33.6351,-79.4656
36795,1995-10-04,987,NULL,0,33.6351,-79.4656
10940,1995-08-11,987,NULL,0,33.6351,-79.4656
36796,1995-10-05,987,NULL,0,33.6351,-79.4656
10941,1995-08-12,987,NULL,0,33.6351,-79.4656
36797,1995-10-06,987,NULL,0,33.6351,-79.4656
10942,1995-08-13,987,NULL,0,33.6351,-79.4656
36798,1995-10-07,987,NULL,0,33.6351,-79.4656
10943,1995-08-14,987,NULL,0,33.6351,-79.4656
36799,1995-10-08,987,NULL,0,33.6351,-79.4656
10944,1995-08-15,987,NULL,0,33.6351,-79.4656
36800,1995-10-09,987,NULL,0,33.6351,-79.4656
10945,1995-08-16,987,NULL,0,33.6351,-79.4656
36801,1995-10-10,987,NULL,0,33.6351,-79.4656
10946,1995-08-17,987,NULL,0,33.6351,-79.4656
36802,1995-10-11,987,NULL,0,33.6351,-79.4656
10947,1995-08-18,987,NULL,0,33.6351,-79.4656
36803,1995-10-12,987,NULL,0,33.6351,-79.4656
10948,1995-08-19,987,NULL,0,33.6351,-79.4656
36804,1995-10-13,987,NULL,0,33.6351,-79.4656
10949,1995-08-20,987,NULL,0,33.6351,-79.4656
36805,1995-10-14,987,NULL,0,33.6351,-79.4656
10950,1995-08-21,987,NULL,0,33.6351,-79.4656
36806,1995-10-15,987,NULL,0,33.6351,-79.4656
10951,1995-08-22,987,NULL,0,33.6351,-79.4656
36807,1995-10-16,987,NULL,0,33.6351,-79.4656
10952,1995-08-23,987,NULL,0,33.6351,-79.4656
36808,1995-10-17,987,NULL,0,33.6351,-79.4656
10953,1995-08-24,987,NULL,0,33.6351,-79.4656
36809,1995-10-18,987,NULL,0,33.6351,-79.4656
10954,1995-08-25,987,NULL,0,33.6351,-79.4656
36810,1995-10-19,987,NULL,0,33.6351,-79.4656
715,1995-08-26,987,NULL,1,33.6351,-79.4656
10955,1995-08-26,987,NULL,0,33.6351,-79.4656
36811,1995-10-20,987,NULL,0,33.6351,-79.4656
716,1995-08-27,987,NULL,1,33.6351,-79.4656
36812,1995-10-21,987,NULL,0,33.6351,-79.4656
